Elevation,North,South,Total
4200.2,4664177.264,7790972.658,12455149.92
4200.3,4697418.464,7837432.472,12534850.94
4200.4,4730659.664,7884055.672,12614715.34
4200.5,4763900.864,7930678.872,12694579.74
4200.6,4797279.784,7977302.072,12774581.86
4200.7,4831146.984,8023925.272,12855072.26
4200.8,4865014.184,8070926.902,12935941.09
4200.9,4898881.384,8118083.102,13016964.49
4201,4932748.584,8165239.302,13097987.89
4201.1,4966917.404,8212395.502,13179312.91
4201.2,5002155.604,8259551.702,13261707.31
4201.3,5037393.804,8307531.36,13344925.16
4201.4,5072632.004,8355847.36,13428479.36
4201.5,5107870.204,8404163.36,13512033.56
4201.6,5143300.068,8452479.36,13595779.43
4201.7,5179409.468,8500795.36,13680204.83
4201.8,5215518.868,8549295.25,13764814.12
4201.9,5251628.268,8597870.25,13849498.52
4202,5287737.668,8646445.25,13934182.92
4202.1,5324128.932,8695020.25,14019149.18
4202.2,5361519.532,8743595.25,14105114.78
4202.3,5398910.132,8792976.81,14191886.94
4202.4,5436300.732,8842687.81,14278988.54
4202.5,5473691.332,8892398.81,14366090.14
4202.6,5511237.824,8942109.81,14453347.63
4202.7,5549337.024,8991820.81,14541157.83
4202.8,5587436.224,9041891.638,14629327.86
4202.9,5625535.424,9092109.438,14717644.86
4203,5663634.624,9142327.238,14805961.86
4203.1,5701733.824,9192545.038,14894278.86
4203.2,5739833.024,9242762.838,14982595.86
4203.3,5777932.224,9292980.638,15070912.86
4203.4,5816031.424,9343198.438,15159229.86
4203.5,5854931.424,9411618.438,15266549.86
4203.6,5893998.624,9480038.438,15374037.06
4203.7,5933658.624,9548458.438,15482117.06
4203.8,5973318.624,9617844.038,15591162.66
4203.9,6012978.624,9687624.038,15700602.66
4204,6052638.624,9757404.038,15810042.66
4204.1,6092465.824,9827184.038,15919649.86
4204.2,6132885.824,9896964.038,16029849.86
4204.3,6173305.824,9967723.838,16141029.66
4204.4,6213725.824,10038883.84,16252609.66
4204.5,6254145.824,10110043.84,16364189.66
4204.6,6294733.024,10181203.84,16475936.86
4204.7,6335913.024,10252363.84,16588276.86
4204.8,6377093.024,10324489.44,16701582.46
4204.9,6418273.024,10397009.44,16815282.46
4205,6459453.024,10469529.44,16928982.46
4205.1,6500800.224,10542049.44,17042849.66
4205.2,6542740.224,10614569.44,17157309.66
